configuration,query_id,query_text,target_category,relevant_document_count,retrieved_document_count,precision_at_5,precision_at_10,recall_at_10,f1_at_10,average_precision,reciprocal_rank,ndcg_at_10,latency_ms
bm25_spelling,Q07,coffee production exports,coffee,139,100,1.0,1.0,0.07194244604316546,0.1342281879194631,0.603628631742111,1.0,1.0,1.2073340003553312
bm25_spelling,Q08,gold prices market,gold,124,100,1.0,1.0,0.08064516129032258,0.1492537313432836,0.5583697383654015,1.0,1.0,2.1738329996878747
bm25_spelling,Q09,wheat production exports,wheat,283,100,1.0,1.0,0.0353356890459364,0.06825938566552901,0.3092866207332862,1.0,1.0,1.3435829969239421
bm25_spelling,Q10,corn crop production,corn,237,100,1.0,0.9,0.0379746835443038,0.07287449392712551,0.2346303647093754,1.0,0.9363792118010481,0.7352499997068662
bm25_spelling,Q11,sugar production prices,sugar,162,100,1.0,1.0,0.06172839506172839,0.11627906976744184,0.5206737438682677,1.0,1.0,1.5860419989621732
bm25_spelling,Q12,natural gas production,nat-gas,105,100,0.8,0.9,0.08571428571428572,0.1565217391304348,0.49383514201568185,1.0,0.914856882358379,0.7557920034741983
bm25_spelling,Q13,shipping freight vessels,ship,286,100,1.0,0.9,0.03146853146853147,0.06081081081081082,0.22846170682146777,1.0,0.9363792118010481,0.2924590007751249
bm25_spelling,Q14,copper prices production,copper,65,100,1.0,1.0,0.15384615384615385,0.2666666666666667,0.8184062133757912,1.0,1.0,1.5293750002456363
bm25_spelling,Q15,cocoa production exports,cocoa,73,100,1.0,1.0,0.136986301369863,0.24096385542168672,0.7364601025673054,1.0,1.0,1.176041998405708
bm25_spelling,Q16,cotton production exports,cotton,59,100,1.0,1.0,0.1694915254237288,0.2898550724637681,0.6892824301841248,1.0,1.0,1.2102920009056106
bm25_spelling,Q17,cofee producion,coffee,139,100,1.0,1.0,0.07194244604316546,0.1342281879194631,0.6870509886598117,1.0,1.0,339.2217090004124
bm25_spelling,Q18,crude oil producion,crude,578,100,0.8,0.8,0.01384083044982699,0.0272108843537415,0.1415960669500658,1.0,0.8357804136936718,231.44433299967204
bm25_spelling,Q19,international trad deficit,trade,485,100,1.0,1.0,0.020618556701030927,0.04040404040404041,0.16318214601038783,1.0,1.0,62.916250000853324
bm25_spelling,Q20,corporate aquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.03212746668191765,1.0,1.0,210.7142910026596
bm25_spelling,MEAN,,,,,0.97,0.9550000000000001,0.05250767342102405,0.09561052496553554,0.3422733082874064,1.0,0.9653466952135009,43.34759800021857
bm25_expansion,Q01,crude oil prices,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.1516654612880877,1.0,1.0,33.5954589972971
bm25_expansion,Q02,international trade deficit,trade,485,100,0.8,0.5,0.010309278350515464,0.020202020202020204,0.11046494813542936,1.0,0.6300426811446146,2.7134160009154584
bm25_expansion,Q03,corporate acquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.03212746668191765,1.0,1.0,1.1601250007515773
